language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments
10	Belarusian	47	alternate	z-za_GEN	mužčyn-a pasvary-ŭ-sja z brat-am z-za spadčyn-y	man-NOM.SG quarrel-PST[SG.M]-REFL PREP brother-INS.SG PREP heritage-GEN.SG	The man argued with his brother over the heritage.	мужчина-NOM.SG поссориться-PST[SG.M]-REFL PREP брат-INS.SG PREP наследство-GEN.SG	Мужчина поссорился с братом из-за наследства.	
10	Belarusian	48	main	z-za_GEN	žančyn-a kupi-l-a gèt-u-ju knig-u z-za maljunk-aŭ	woman-NOM.SG buy-PST-SG.F this-ACC.SG.F book-ACC.SG PREP picture-GEN.PL	The woman bought the book because of the pictures.	женщина-NOM.SG купить-PST-SG.F этот-ACC.SG.F книга-ACC.SG рисунок-GEN.PL	Женщина купила книгу из-за рисунков.	
10	Belarusian	48	alternate	praz_ACC	žančyn-a kupi-l-a gèt-u-ju knig-u praz maljunk-i	woman-NOM.SG buy-PST-SG.F this-ACC.SG.F book-ACC.SG PREP picture-ACC.PL	The woman bought the book because of the pictures.	женщина-NOM.SG купить-PST-SG.F этот-ACC.SG.F книга-ACC.SG рисунок-ACC.PL	Женщина купила книгу из-за рисунков.	
10	Belarusian	49	main	praz_ACC	žančyn-a ne sta-l-a sustraka-cca z sjabroŭk-aj praz kepsk-i nastroj	woman-NOM.SG NEG become-PST-SG.F meet-INF.REFL PREP friend-INS.SG PREP bad-ACC.SG.M mood[ACC.SG]	The woman decided not to meet her friend because of the bad mood. 	женщина-NOM.SG NEG стать-PST-SG.F встречаться-INF.REFL PREP подруга-INS.SG PREP  плохой-ACC.SG.M настроение[ACC.SG]	Женщина не стала встречаться с подругой из-за плохого настроения.	
10	Belarusian	49	alternate	z-za_GEN	žančyn-a ne sta-l-a sustraka-cca z sjabroŭk-aj z-za kepsk-aga nastr-oju	woman-NOM.SG NEG become-PST-SG.F meet-INF.REFL PREP friend-INS.SG PREP bad-ACC.SG.M mood-GEN.SG	The woman decided not to meet her friend because of the bad mood. 	женщина-NOM.SG NEG стать-PST-SG.F встречаться-INF.REFL PREP подруга-INS.SG PREP плохой-ACC.SG.M настроение-GEN.SG	Женщина не стала встречаться с подругой из-за плохого настроения.	
10	Belarusian	50	main	mjarkujucy_pa_LOC	mjarku-jučy pa lužyn-ax nočču išo-ŭ doždž	assume-CVB PREP puddle-LOC.PL in_the_night go-PST[SG.M] rain[NOM.SG]	Judging from the puddles, it was raining in the night.	предполагать-CVB PREP лужа-LOC.PL ночью идти-PST[SG.M] дождь[NOM.SG]	Судя по лужам, ночью шел дождь.	
10	Belarusian	51	main	mjarkujucy_pa_LOC	mjarku-jučy pa burbalk-ax vad-a užo zakipe-l-a	assume-CVB PREP bubble-LOC.PL water-NOM.SG already boil-PST-SG.F	Judging from the bubbles, the water has boiled already.	предполагать-CVB PREP пузырек-LOC.PL вода-NOM.SG уже закипеть-PST-SG.F	Судя по пузырькам, вода уже закипела.	
10	Belarusian	52	main	n.a.						No satisfactory translation has been obtained.
10	Belarusian	53	main	n.a.						No satisfactory translation has been obtained.
10	Belarusian	54	main	z_pricyny_GEN	gèt-y lik ne mož-a by-c' menšy za adzink-y z pričyn-y matèmatyčn-yx zakon-aŭ	this-NOM.SG.M number[NOM.SG] NEG be_able-PRS.3SG be-INF smaller PREP one-ACC.SG PREP cause-GEN.SG mathematical-GEN.PL rule-GEN.PL	This number cannot be less than one per mathematical laws.	этот-NOM.SG  число NEG мочь-PRS.3SG  быть-INF меньше PREP единица-ACC.SG PREP причина-GEN.SG математический-GEN.PL закон-GEN.PL	Это число не может быть меньше единицы в силу математических законов.	
10	Belarusian	54	alternate	pavodle_GEN	gèt-y lik ne mož-a by-c' menšy za adzink-y pavodle matèmatyčn-yx zakon-aŭ	this-NOM.SG.M number[NOM.SG] NEG be_able-PRS.3SG be-INF smaller PREP one-ACC.SG according_to mathematical-GEN.PL rule-GEN.PL	This number cannot be less than one per mathematical laws.	этот-NOM.SG  число NEG мочь-PRS.3SG  быть-INF меньше PREP единица-ACC.SG в_соответтсвии математический-GEN.PL закон-GEN.PL	Это число не может быть меньше единицы в силу математических законов.	
